#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-01-24T00:21:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e2a37fe0bc3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-order=I
#-out.src=V/50/catalog
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50/catalog&HTTPPRM:&&-ref=VIZ5e2a37fe0bc3&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=Name&-out=HD&-out=ADS&-out=VarID&-out=RAJ2000&-out=DEJ2000&-out=GLON&-out=GLAT&-out=Vmag&-out=B-V&-out=SpType&-out=RadVel&-out=RotVel&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/50/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-out=HR
#-out=Name
#-out=HD
#-out=ADS
#-out=VarID
#-out=RAJ2000
#-out=DEJ2000
#-out=GLON
#-out=GLAT
#-out=Vmag
#-out=B-V
#-out=SpType
#-out=RadVel
#-out=RotVel
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	ADS	(a5)	Aitken's Double Star Catalog (ADS) designation	[ucd=meta.id]
#Column	VarID	(a9)	Variable star identification	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	GLON	(F6.2)	?Galactic longitude (1)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	?Galactic latitude (1)	[ucd=pos.galactic.lat]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
#Column	RadVel	(I4)	? Heliocentric Radial Velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	RotVel	(I3)	? Rotational velocity, v sin i	[ucd=phys.veloc.rotat]
_RAJ2000;_DEJ2000;HR;Name;HD;ADS;VarID;RAJ2000;DEJ2000;GLON;GLAT;Vmag;B-V;SpType;RadVel;RotVel
018.676667; +6.995278; 367; 88    Psc;  7446;     ;         ;01 14 42.4;+06 59 43;133.14;-55.41; 6.03; 1.08; gG6                ;  -9;
018.705000; -0.973889; 368; 38    Cet;  7476;     ;         ;01 14 49.2;-00 58 26;136.01;-63.25; 5.70; 0.42;  F5V               ;  26; 10
019.102083;+48.082222; 369;          ;  7546;     ;         ;01 16 24.5;+48 04 56;127.24;-14.58; 6.61;-0.05;  B9IIIpSi          ; -14;
018.796250;-45.531389; 370;   Nu  Phe;  7570;     ;         ;01 15 11.1;-45 31 53;290.10;-71.00; 4.96; 0.58;  F8V               ;  12;
019.078333;+33.114722; 371;          ;  7578;     ;         ;01 16 18.8;+33 06 53;128.91;-29.47; 6.02; 1.15;  K1III             ;   6;
019.271250;+44.901944; 372;          ;  7647;     ;         ;01 17 05.1;+44 54 07;127.70;-17.73; 6.34;     ;  K5                ; -52;
019.151250; -2.500278; 373; 39    Cet;  7672;     ;AY Cet   ;01 16 36.3;-02 30 01;137.75;-64.64; 5.41; 0.90;  G5IIIe+dA         ; -20;
019.350417;+31.744722; 374;          ;  7724;     ;         ;01 17 24.1;+31 44 41;129.36;-30.80; 6.73;     ;  K0                ; -34;
020.081250;+77.570556; 375;          ;  7732;     ;         ;01 20 19.5;+77 34 14;124.54; 14.79; 6.31; 0.92;  G5III             ; -74;
019.542500;+47.419722; 376;          ;  7758;     ;         ;01 18 10.2;+47 25 11;127.61;-15.21; 6.25; 1.35;  K0                ;  -1;
018.942083;-68.876111; 377;   Kap Tuc;  7788;     ;  454    ;01 15 46.1;-68 52 34;299.66;-48.10; 4.86; 0.47;  F6IV              ;   9;111
019.450000; +3.614444; 378; 89    Psc;  7804;     ;         ;01 17 48.0;+03 36 52;135.63;-58.61; 5.16; 0.07;  A3V               ;   5;121
019.695833;+37.386111; 379;          ;  7853; 1055;         ;01 18 47.0;+37 23 10;128.93;-25.17; 6.46; 0.23;  A5m               ;   5; 35
019.265000;-66.398056; 380;          ;  7916;     ;         ;01 17 03.6;-66 23 53;298.90;-50.53; 6.24; 0.05;  A0V               ;  13;
020.496250;+76.238889; 381;          ;  7925;     ;         ;01 21 59.1;+76 14 20;124.79; 13.48; 6.38; 0.28;  F0IVn             ; -16;
020.020417;+58.231667; 382; 34Phi Cas;  7927; 1073;         ;01 20 04.9;+58 13 54;126.71; -4.43; 4.98; 0.68;  F0Ia              ; -24; 27
019.866667;+27.264167; 383; 90Ups Psc;  7964;     ;         ;01 19 28.0;+27 15 51;130.56;-35.19; 4.76; 0.03;  A3V               ;   8; 93
020.271667;+64.658333; 384; 35    Cas;  8003; 1088;  474    ;01 21 05.2;+64 39 30;126.10;  1.97; 6.34; 0.09;  A2Vnn             ; -15;240
019.951250; -0.508889; 385; 42    Cet;  8036; 1081;         ;01 19 48.3;-00 30 32;138.45;-62.52; 5.87; 0.64;  G8III+A7V         ;  14;
020.945000;+78.725833; 386;          ;  8065;     ;         ;01 23 46.8;+78 43 33;124.57; 15.96; 6.07; 0.39;  A0Iab             ; -75;
020.143750; -3.246944; 387;          ;  8120;     ;         ;01 20 34.5;-03 14 49;140.45;-65.12; 6.23; 1.02;  K1III             ;  -3;
020.115833;-11.238889; 388;          ;  8121;     ;         ;01 20 27.8;-11 14 20;147.57;-72.71; 6.15; 1.11;  K1III             ; -11;
020.280833;+28.738056; 389; 91    Psc;  8126;     ;         ;01 21 07.4;+28 44 17;130.75;-33.68; 5.23; 1.39; gK5                ; -36;
020.585000;+45.528889; 390; 46Xi  And;  8207;     ;         ;01 22 20.4;+45 31 44;128.58;-17.00; 4.88; 1.08;  K0-IIIb           ; -13; 17
020.840000;+58.143056; 391;          ;  8272; 1105;         ;01 23 21.6;+58 08 35;127.14; -4.47; 6.45;     ;  F4V               ;   7;
020.654167; +1.726389; 392;          ;  8334;     ;         ;01 22 37.0;+01 43 35;138.75;-60.18; 6.20; 1.52;  K5IIIab           ; -16;
020.645000; -0.449722; 393; 43    Cet;  8335;     ;  487    ;01 22 34.8;-00 26 59;139.87;-62.29; 6.49; 1.08; gK0                ;  14;
020.627083;-19.081389; 394;          ;  8350; 1106;         ;01 22 30.5;-19 04 53;166.13;-79.24; 6.35; 0.48;  F6IV              ;  -5; 19
020.919167;+37.715000; 395; 47    And;  8374;     ;         ;01 23 40.6;+37 42 54;129.94;-24.72; 5.58; 0.26;  A2Vm              ;  13; 15
020.906250;+34.245833; 396;          ;  8375;     ;         ;01 23 37.5;+34 14 45;130.47;-28.16; 6.29; 0.83;  G8IV              ;   3;
020.853750;+20.468889; 397;          ;  8388;     ;         ;01 23 24.9;+20 28 08;132.99;-41.78; 5.97; 1.71;  K5                ; -11;
021.443750;+70.980000; 398;          ;  8424;     ;         ;01 25 46.5;+70 58 48;125.75;  8.30; 6.49;     ;  A0Vnn             ;  11;195
021.483333;+68.130000; 399; 36Psi Cas;  8491; 1129;         ;01 25 56.0;+68 07 48;126.15;  5.47; 4.74; 1.05;  K0III             ; -12; 17
020.879167;-30.945556; 400;          ;  8498;     ;         ;01 23 31.0;-30 56 44;243.40;-82.02; 5.84; 1.61;  K5III             ; -16;
021.010417; -8.007500; 401; 44    Cet;  8511;     ;AV Cet   ;01 24 02.5;-08 00 27;146.42;-69.38; 6.21; 0.23;  F0V               ;   6;157
021.005833; -8.183333; 402; 45The Cet;  8512; 1118;         ;01 24 01.4;-08 11 00;146.59;-69.54; 3.60; 1.06;  K0III-IIIb        ;  17; 17
021.454167;+60.235278; 403; 37Del Cas;  8538;     ;Del Cas  ;01 25 49.0;+60 14 07;127.19; -2.35; 2.68; 0.13;  A5III-IV          ;   7;113
021.085833; -6.914722; 404;          ;  8556; 1123;         ;01 24 20.6;-06 54 53;145.55;-68.33; 5.91; 0.41;  F3V               ;  32;
021.165833;-15.660278; 405;          ;  8589;     ;         ;01 24 39.8;-15 39 37;158.54;-76.18; 6.14; 0.91;  G5                ;  13;
021.202917; -2.848611; 406;          ;  8599;     ;         ;01 24 48.7;-02 50 55;142.56;-64.44; 6.15; 0.96;  G8III             ; -27;
021.398750;+23.511667; 407;          ;  8634;     ;         ;01 25 35.7;+23 30 42;132.98;-38.69; 6.18; 0.43;  F5III             ; -16; 34
021.170000;-41.492500; 408;          ;  8651;     ;         ;01 24 40.8;-41 29 33;279.66;-74.10; 5.42; 1.04;  K0III             ;  74;
021.577500;+43.457778; 409;          ;  8671;     ;         ;01 26 18.6;+43 27 28;129.61;-18.96; 5.96; 0.49;  F7V               ;  31;  6
021.536250;+34.579722; 410;          ;  8673;     ;         ;01 26 08.7;+34 34 47;131.00;-27.75; 6.31; 0.47;  F7V               ;  17; 32
021.174583;-44.528333; 411;          ;  8681;     ;         ;01 24 41.9;-44 31 42;284.11;-71.36; 6.26; 1.14;  K1II              ; -10;
021.405000;-14.598889; 412; 46    Cet;  8705;     ;         ;01 25 37.2;-14 35 56;157.07;-75.16; 4.90; 1.23;  K2.5IIIb          ; -23; 17
021.563750;+19.172222; 413; 93Rho Psc;  8723;     ;  506    ;01 26 15.3;+19 10 20;134.19;-42.94; 5.38; 0.39;  F2V:              ;  -9; 61
021.673750;+19.240278; 414; 94    Psc;  8763;     ;         ;01 26 41.7;+19 14 25;134.31;-42.85; 5.50; 1.11;  K1III             ; -42;
021.775833;+34.377500; 415;          ;  8774;     ;         ;01 27 06.2;+34 22 39;131.25;-27.92; 6.27; 0.46;  F7IVb vs          ;  15; 23
021.613750; -0.398611; 416;          ;  8779;     ;         ;01 26 27.3;-00 23 55;141.83;-61.98; 6.41; 1.24;  K0IV              ;  -6;
021.914167;+45.406667; 417; 48Ome And;  8799; 1152;         ;01 27 39.4;+45 24 24;129.56;-17.00; 4.83; 0.42;  F5IV              ;  11; 69
021.860833;+41.100556; 418;          ;  8801; 1151;         ;01 27 26.6;+41 06 02;130.20;-21.26; 6.46; 0.27;  A7m               ;   1; 70
021.722917; +3.535278; 419;          ;  8803; 1148;         ;01 26 53.5;+03 32 07;139.88;-58.16; 6.58;-0.04;  B9V+A8V           ;  15;210
021.272083;-64.369444; 420;          ;  8810;     ;         ;01 25 05.3;-64 22 10;296.98;-52.37; 5.93; 1.56;  K5III             ;  23;
021.715000;-13.056667; 421; 47    Cet;  8829;     ;  512    ;01 26 51.6;-13 03 24;155.16;-73.67; 5.66; 0.35;  F0IIIDel Del      ;  10;
021.945833;+40.335556; 422;          ;  8837;     ;         ;01 27 47.0;+40 20 08;130.39;-22.01; 6.60;-0.04;  A0III             ;  -1;135
021.742083;-32.543056; 423;          ;  8879;     ;R Scl    ;01 26 58.1;-32 32 35;250.18;-80.59; 5.79; 3.86;  C6II              ;  -8;
037.952917;+89.264167; 424;  1Alp UMi;  8890; 1477;Alp UMi  ;02 31 48.7;+89 15 51;123.28; 26.46; 2.02; 0.60;  F7:Ib-II          ; -17; 17
021.944167;-10.901667; 425;          ;  8921; 1162;         ;01 27 46.6;-10 54 06;152.44;-71.66; 6.13; 1.32;  K4III-IV          ;   4;
022.095417; +7.961389; 426;          ;  8949;     ;  519    ;01 28 22.9;+07 57 41;138.54;-53.79; 6.20; 1.12;  K1III             ;   2;
022.807500;+70.264722; 427; 38    Cas;  9021;     ;         ;01 31 13.8;+70 15 53;126.30;  7.65; 5.81; 0.47;  F6V               ;   5;
022.717917;+66.098056; 428;          ;  9030;     ;         ;01 30 52.3;+66 05 53;126.92;  3.53; 6.14; 0.08;  A2V s             ;   9; 75
022.091250;-43.318333; 429;   Gam Phe;  9053;     ;Gam Phe  ;01 28 21.9;-43 19 06;280.52;-72.17; 3.41; 1.57;  M0-IIIa           ;  26;
022.525833;+47.007222; 430; 49    And;  9057;     ;         ;01 30 06.2;+47 00 26;129.75;-15.35; 5.27; 1.00;  K0III             ; -11; 19
022.180417;-33.763611; 431;          ;  9065;     ;WZ Scl   ;01 28 43.3;-33 45 49;254.77;-79.59; 6.58; 0.30;  F0IV              ;  -5;
022.470417;+18.355556; 432; 97    Psc;  9100;     ;VX Psc   ;01 29 52.9;+18 21 20;135.56;-43.57; 6.02; 0.14;  A4IV              ;   4;108
022.400417;-21.629444; 433; 48    Cet;  9132; 1184;         ;01 29 36.1;-21 37 46;182.65;-79.72; 5.12; 0.02;  A1V               ;   1;
022.546250; +6.143889; 434; 98Mu  Psc;  9138;     ;         ;01 30 11.1;+06 08 38;140.07;-55.43; 4.84; 1.37;  K4III             ;  34; 17
022.376667;-46.756389; 435;          ;  9184;     ;AW Phe   ;01 29 30.4;-46 45 23;284.52;-68.99; 6.31; 1.66;  M2III             ;  18;
022.595417;-26.207778; 436;          ;  9228; 1193;         ;01 30 22.9;-26 12 28;209.10;-81.25; 5.93; 1.34;  K4III             ;  -1;
022.870833;+15.345833; 437; 99Eta Psc;  9270; 1199;  532    ;01 31 29.0;+15 20 45;137.01;-46.43; 3.62; 0.97;  G7IIIa            ;  15; 19
023.031667;+34.800000; 438;          ;  9298;     ;         ;01 32 07.6;+34 48 00;132.33;-27.33; 6.39;-0.12;  B7IIIpHgMn        ;  -1; 60
023.357500;+58.327500; 439;          ;  9352;     ;         ;01 33 25.8;+58 19 39;128.44; -4.09; 5.70; 1.52;  K0Ib+B9V          ;  -1; 50
022.812917;-49.072778; 440;   Del Phe;  9362;     ;         ;01 31 15.1;-49 04 22;286.27;-66.75; 3.95; 0.99;  K0III             ;  -7;
022.930417;-30.283333; 441;          ;  9377;     ;         ;01 31 43.3;-30 17 00;234.96;-80.63; 5.82; 1.08;  K0III             ;   3;
023.482917;+59.231944; 442; 39Chi Cas;  9408;     ;         ;01 33 55.9;+59 13 55;128.35; -3.19; 4.71; 1.00;  G9IIIb            ;   6; 19
022.912917;-45.575556; 443;          ;  9414;     ;         ;01 31 39.1;-45 34 32;282.11;-69.89; 6.17; 0.06;  A2V               ;   8;
023.264583; -9.014722; 444;          ;  9484;     ;Var      ;01 33 03.5;-09 00 53;153.38;-69.39; 6.59;-0.04;  A0III             ;  10;
023.233333;-36.865278; 445;          ;  9525;     ;         ;01 32 56.0;-36 51 55;263.48;-76.89; 5.51; 1.02;  K0III             ;  13;
023.569167;+37.237222; 446;          ;  9531;     ;KK And   ;01 34 16.6;+37 14 14;132.32;-24.85; 5.88;-0.07;  B9IV              ;  -4;175
023.151250;-49.727778; 447;          ;  9544;     ;         ;01 32 36.3;-49 43 40;286.40;-66.06; 6.28; 0.46;  F4V               ;   2;
023.428750; -7.025278; 448;          ;  9562;     ;         ;01 33 42.9;-07 01 31;151.37;-67.53; 5.76; 0.64;  G2IV              ; -15; 10
024.343750;+74.300833; 449;          ;  9612;     ;         ;01 37 22.5;+74 18 03;126.09; 11.71; 6.58; 0.03;  B9Ve              ;  -8;
023.704583;+18.460556; 450;          ;  9640;     ;         ;01 34 49.1;+18 27 38;137.11;-43.21; 5.89; 1.52;  M2IIIab           ; -26;
023.657500;-15.676111; 451; 49    Cet;  9672;     ;         ;01 34 37.8;-15 40 34;166.32;-74.78; 5.63; 0.07;  A3V               ;   9;
023.968750;+41.076389; 452;          ;  9712;     ;         ;01 35 52.5;+41 04 35;131.88;-21.02; 6.38; 1.11;  K1III             ;  65;
023.711250;-31.892222; 453;          ;  9742;     ;         ;01 34 50.7;-31 53 32;242.30;-79.43; 6.12; 1.11;  K0-1III           ; -11;
024.113333;+48.722778; 454;          ;  9746;     ;OP And   ;01 36 27.2;+48 43 22;130.54;-13.48; 5.92; 1.21; gK1                ; -43;
023.943333;+14.661389; 455;101    Psc;  9766;     ;  559    ;01 35 46.4;+14 39 41;138.71;-46.85; 6.22;-0.04;  B9.5III           ; -16;220
024.628750;+73.040000; 456; 40    Cas;  9774; 1268;  567    ;01 38 30.9;+73 02 24;126.40; 10.49; 5.28; 0.96;  G8III             ;  -5; 19
023.978333;+17.433611; 457;          ;  9780;     ;         ;01 35 54.8;+17 26 01;137.79;-44.15; 5.80;     ;  F0IV              ;   3; 97
024.199167;+41.405556; 458; 50Ups And;  9826;     ;         ;01 36 47.8;+41 24 20;132.00;-20.66; 4.09; 0.54;  F8V               ; -28;  8
023.995833;-15.400278; 459; 50    Cet;  9856;     ;         ;01 35 59.0;-15 24 01;166.61;-74.36; 5.42; 1.21;  K2IIIaBa0.2CN1    ;  24; 19
023.813333;-58.139444; 460;          ;  9896;     ;  561    ;01 35 15.2;-58 08 22;292.01;-58.05; 6.01; 0.38;  F2V               ;   1;
024.531667;+57.977500; 461;          ;  9900;     ;         ;01 38 07.6;+57 58 39;129.11; -4.33; 5.56; 1.38;  G5II              ;  -8;
024.035000;-29.907500; 462;   Tau Scl;  9906;     ;         ;01 36 08.4;-29 54 27;231.37;-79.80; 5.69; 0.33;  F2V               ;   5; 63
024.274583;+12.141667; 463;102Pi  Psc;  9919;     ;         ;01 37 05.9;+12 08 30;140.16;-49.20; 5.57; 0.35;  F0V               ;  -1; 96
024.498333;+48.628333; 464; 51    And;  9927;     ;         ;01 37 59.6;+48 37 42;130.81;-13.53; 3.57; 1.28;  K3-III            ;  16; 17
024.632083;+45.400000; 465;          ;  9996;     ;GY And   ;01 38 31.7;+45 24 00;131.53;-16.68; 6.36; 0.04;  B9pCrEu           ;   3; 19
024.407083; -9.403889; 466;          ; 10009;     ;         ;01 37 37.7;-09 24 14;156.70;-69.19; 6.24; 0.53;  F7V               ;  48;
023.413333;-78.504722; 467;          ; 10042;     ;         ;01 33 39.2;-78 30 17;300.26;-38.41; 6.11; 0.97;  K0III             ;  -1;
024.186667;-58.270833; 468;          ; 10052;     ;         ;01 36 44.8;-58 16 15;291.74;-57.86; 6.18; 1.61;  M3III             ;  -2;
024.837500;+44.386111; 469; 52Chi And; 10072;     ;         ;01 39 21.0;+44 23 10;131.89;-17.65; 4.98; 0.89;  G8III             ;   7; 17
025.054583;+53.868333; 470;          ; 10110;     ;         ;01 40 13.1;+53 52 06;130.16; -8.32; 6.39; 1.61;  K5III             ; -62;
024.614167;-36.528333; 471;          ; 10142;     ;         ;01 38 27.4;-36 31 42;259.18;-76.31; 5.94; 1.05;  K0IV              ;  30;
024.428750;-57.236667; 472;   Alp Eri; 10144;     ;Var      ;01 37 42.9;-57 14 12;290.84;-58.79; 0.46;-0.16;  B3Vpe             ;  16;251
024.715833;-21.275278; 473;          ; 10148;     ;         ;01 38 51.8;-21 16 31;187.04;-77.72; 5.58; 0.34;  A4n               ;  14;
024.708333;-25.021944; 474;          ; 10161; 1298;         ;01 38 50.0;-25 01 19;204.39;-79.16; 6.70;-0.08;  B9Vn              ;  15;
024.920000;+16.405833; 475;105    Psc; 10164;     ;         ;01 39 40.8;+16 24 21;139.37;-44.92; 5.97; 1.12;  K2III             ;  17;
025.165833;+43.297778; 476;          ; 10204;     ;         ;01 40 39.8;+43 17 52;132.35;-18.67; 5.61; 0.21;sgA9                ;  17; 82
025.145000;+40.576944; 477; 53Tau And; 10205; 1311;  584    ;01 40 34.8;+40 34 37;132.92;-21.34; 4.94;-0.09;  B8III             ; -14; 91
025.585417;+68.043056; 478; 43    Cas; 10221;     ;V557 Cas ;01 42 20.5;+68 02 35;127.68;  5.64; 5.59;-0.07;  A0pSiSr           ;   5; 28
024.700833;-53.438889; 479;          ; 10241;     ;         ;01 38 48.2;-53 26 20;287.70;-62.27; 6.84; 0.44;  F5IV-V            ;  -3;
025.732917;+70.622500; 480; 42    Cas; 10250;     ;  590    ;01 42 55.9;+70 37 21;127.21;  8.18; 5.18;-0.04;  B9V               ;   6;117
025.512500;+61.038333; 481;          ; 10260;     ;         ;01 42 03.0;+61 02 18;129.02; -1.23; 6.71;-0.03;  B8IIIpSi          ; -13;
025.574167;+58.627778; 482;          ; 10293; 1334;         ;01 42 17.8;+58 37 40;129.52; -3.59; 6.37;-0.02;  B8III             ;  -4; 35
025.446667;+42.613611; 483;          ; 10307;     ;         ;01 41 47.2;+42 36 49;132.70;-19.30; 4.95; 0.62;  G1.5V             ;   4;  2
025.326667;+25.745833; 484;          ; 10308; 1326;         ;01 41 18.4;+25 44 45;136.80;-35.78; 6.17; 0.44;  F2III             ;   5; 12
025.413333;+30.047222; 485;          ; 10348;     ;         ;01 41 39.2;+30 02 50;135.69;-31.58; 5.99; 1.01;  K0III             ;   5;
024.947500;-56.198056; 486;          ; 10360;     ;         ;01 39 47.4;-56 11 53;289.60;-59.66; 5.87; 0.90;  K0V               ;  23;
024.949167;-56.194722; 487;          ; 10361;     ;         ;01 39 47.8;-56 11 41;289.60;-59.66; 5.76; 0.87;  K5V               ;  20;
025.743333;+61.421667; 488;          ; 10362;     ;         ;01 42 58.4;+61 25 18;129.06; -0.84; 6.34; 0.01;  B7II              ;  -5;
025.357917; +5.487500; 489;106Nu  Psc; 10380;     ;         ;01 41 25.9;+05 29 15;145.12;-55.22; 4.44; 1.36;  K3IIIbBa0.1       ;   0; 19
025.514583;+35.245556; 490;          ; 10390;     ;         ;01 42 03.5;+35 14 44;134.46;-26.49; 5.64;-0.07;  B9IV-V            ;  -2; 70
025.832083;+60.551111; 491; 44    Cas; 10425; 1344;         ;01 43 19.7;+60 33 04;129.27; -1.68; 5.78;-0.02;  B8IIIn            ; -33;130
025.436250;-11.324722; 492;          ; 10453; 1339;         ;01 41 44.7;-11 19 29;162.14;-70.26; 5.75; 0.44;  F5V+F7V           ; -10;
025.624167;+20.268611; 493;107    Psc; 10476;     ;  600    ;01 42 29.8;+20 16 07;138.88;-41.01; 5.24; 0.84;  K1V               ; -34; 19
025.363750;-38.133056; 494;          ; 10481;     ;         ;01 41 27.3;-38 07 59;262.44;-74.80; 6.17; 0.42;  F2V               ;  11;
025.818750;+45.322222; 495;          ; 10486;     ;         ;01 43 16.5;+45 19 20;132.40;-16.59; 6.34; 1.01;  K2IV              ;  12;
025.915000;+50.688611; 496;   Phi Per; 10516;     ;Phi Per  ;01 43 39.6;+50 41 19;131.32;-11.33; 4.07;-0.04;  B2Vep             ;   1;450
025.535833;-32.326944; 497;   Pi  Scl; 10537;     ;         ;01 42 08.6;-32 19 37;241.27;-77.84; 5.25; 1.05;  K0III             ;  10;
025.512500;-36.832500; 498;          ; 10538;     ;         ;01 42 03.0;-36 49 57;258.27;-75.56; 5.72;-0.01;  A1V               ;  17;
026.074583;+57.536389; 499;          ; 10543; 1359;         ;01 44 17.9;+57 32 11;130.00; -4.61; 6.21; 0.10;  A3V               ;   5; 70
025.681250; -3.690278; 500;          ; 10550;     ;         ;01 42 43.5;-03 41 25;152.75;-63.55; 4.99; 1.38;  K3II-III          ; -34; 19
025.421250;-50.038889; 501;          ; 10553;     ;         ;01 41 41.1;-50 02 20;283.51;-65.15; 6.64; 0.12;  A3V               ;  -7;
026.192083;+57.089167; 502;          ; 10587;     ;         ;01 44 46.1;+57 05 21;130.16; -5.03; 6.25; 0.04;  A2V               ;   5;170
025.958333;+32.191667; 503;          ; 10588;     ;Var?     ;01 43 50.0;+32 11 30;135.65;-29.38; 6.34;     ;  G8III-IV          ;  -5;
026.110417;+46.139722; 504;          ; 10597;     ;         ;01 44 26.5;+46 08 23;132.43;-15.75; 6.35;     ;  K5III             ; -19;
025.450000;-60.789444; 505;          ; 10615;     ;         ;01 41 48.0;-60 47 22;292.17;-55.27; 5.71; 1.27;  K2-3III           ;   2;
025.622083;-53.740556; 506;          ; 10647;     ;         ;01 42 29.3;-53 44 26;286.90;-61.77; 5.52; 0.53;  F9V               ;  13;
025.978333; -4.765556; 507;          ; 10658;     ;         ;01 43 54.8;-04 45 56;154.47;-64.37; 6.19; 1.54;  K0                ;  20;
026.232500;+20.083056; 508;109    Psc; 10697;     ;         ;01 44 55.8;+20 04 59;139.67;-41.04; 6.27; 0.75;  G3Va              ; -44;
026.017083;-15.937500; 509; 52Tau Cet; 10700;     ;         ;01 44 04.1;-15 56 15;173.19;-73.43; 3.50; 0.72;  G8V               ; -16;  2
026.348333; +9.157778; 510;110Omi Psc; 10761;     ;  615    ;01 45 23.6;+09 09 28;144.61;-51.43; 4.26; 0.96;  G8III             ;  14; 17
026.936667;+63.852222; 511;          ; 10780;     ;         ;01 47 44.8;+63 51 08;129.08;  1.66; 5.63; 0.81;  K0V               ;   3;
024.481667;-82.975000; 512;          ; 10800;     ;         ;01 37 55.6;-82 58 30;301.23;-34.00; 5.87; 0.61;  G2V               ;  -5;
026.497083; -5.733333; 513;          ; 10824;     ;         ;01 45 59.3;-05 44 00;156.61;-64.97; 5.34; 1.52;  K4III             ;  11;
026.411667;-25.052500; 514;   Eps Scl; 10830; 1394;         ;01 45 38.8;-25 03 09;206.28;-77.66; 5.31; 0.39;  F1V               ;  15; 86
026.647083;+17.413056; 515;          ; 10845;     ;VY Psc   ;01 46 35.3;+17 24 47;141.20;-43.49; 6.55; 0.25;  A9III             ;  -1; 67
025.338750;-79.148333; 516;   Tau1Hyi; 10859;     ;         ;01 41 21.3;-79 08 54;299.99;-37.69; 6.33; 0.94;  G6-8III           ;   2;
026.504167;-27.349167; 517;          ; 10863;     ;         ;01 46 01.0;-27 20 57;217.10;-77.87; 6.39; 0.36;  F2Vn              ;   6;
026.950000;+46.229722; 518;          ; 10874;     ;         ;01 47 48.0;+46 13 47;133.00;-15.54; 6.32; 0.43;  F6V               ;  -3; 27
026.524167;-50.816389; 519;          ; 10934;     ;         ;01 46 05.8;-50 48 59;282.92;-64.14; 5.49; 1.60;  M3III             ;  -2;
026.526250;-53.521944; 520;          ; 10939;     ;         ;01 46 06.3;-53 31 19;285.68;-61.74; 5.04; 0.04;  A1V               ;  10; 56
027.162083;+37.952778; 521;          ; 10975;     ;         ;01 48 38.9;+37 57 10;135.20;-23.55; 5.94; 0.97;  K0III             ;  37;
027.045417;+16.955556; 522;  4    Ari; 10982;     ;         ;01 48 10.9;+16 57 20;141.89;-43.82; 5.84;-0.03;  B9.5V             ;  10; 22
027.173333;+32.690278; 523;          ; 11007;     ;         ;01 48 41.6;+32 41 25;136.65;-28.66; 5.79; 0.55;  F8V               ; -27;  6
026.820000;-41.760000; 524;          ; 11022;     ;         ;01 47 16.8;-41 45 36;268.52;-71.43; 6.18; 1.54;  K5-M0III          ; -13;
024.366667;-84.769722; 525;          ; 11025;     ;         ;01 37 28.0;-84 46 11;301.70;-32.25; 5.69; 0.94;  G8III             ;  18;
